query_id,tau,recall@10,mrr_top0,ndcg@10,spearman,kendall,tail_head
1,Cosine(τ=1.0),1.0000,0.0028,ref,1.0000,1.0000,0.9685
1,Hybrid(τ=0.72),0.6000,0.0029,0.8732,0.7084,0.5468,0.9740
1,Taumode(τ=0.42),0.3000,0.0033,0.5484,0.3046,0.2184,0.9805
2,Cosine(τ=1.0),1.0000,0.0036,ref,1.0000,1.0000,0.9537
2,Hybrid(τ=0.72),0.7000,0.0057,0.9320,0.5913,0.4074,0.9702
2,Taumode(τ=0.42),0.1000,0.0066,0.4307,0.2422,0.1515,0.9846
3,Cosine(τ=1.0),1.0000,0.0003,ref,1.0000,1.0000,0.9398
3,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9666,0.9422,0.9572
3,Taumode(τ=0.42),1.0000,0.0001,0.9995,0.9976,0.9766,0.9757
4,Cosine(τ=1.0),1.0000,0.0045,ref,1.0000,1.0000,0.8854
4,Hybrid(τ=0.72),0.8000,0.0013,0.9949,0.7442,0.6217,0.9260
4,Taumode(τ=0.42),0.7000,0.0002,0.9584,0.7904,0.6956,0.9680
5,Cosine(τ=1.0),1.0000,0.0007,ref,1.0000,1.0000,0.9439
5,Hybrid(τ=0.72),0.8000,0.0002,1.0000,0.9127,0.8380,0.9582
5,Taumode(τ=0.42),0.8000,0.0001,0.9833,0.9767,0.9224,0.9754
6,Cosine(τ=1.0),1.0000,0.0133,ref,1.0000,1.0000,0.9375
6,Hybrid(τ=0.72),0.7000,0.0179,0.8105,0.5631,0.3945,0.9356
6,Taumode(τ=0.42),0.4000,0.0192,0.8313,0.2749,0.2016,0.9561
7,Cosine(τ=1.0),1.0000,0.0001,ref,1.0000,1.0000,0.9216
7,Hybrid(τ=0.72),1.0000,0.0001,1.0000,0.9978,0.9856,0.9456
7,Taumode(τ=0.42),1.0000,0.0001,1.0000,0.9964,0.9672,0.9694
8,Cosine(τ=1.0),1.0000,0.0016,ref,1.0000,1.0000,0.9416
8,Hybrid(τ=0.72),0.7000,0.0005,0.9946,0.6135,0.5239,0.9526
8,Taumode(τ=0.42),0.6000,0.0002,1.0000,0.8103,0.7358,0.9720
9,Cosine(τ=1.0),1.0000,0.0004,ref,1.0000,1.0000,0.8333
9,Hybrid(τ=0.72),1.0000,0.0003,0.9956,0.9923,0.9556,0.8860
9,Taumode(τ=0.42),1.0000,0.0002,0.9866,0.9368,0.8799,0.9377
10,Cosine(τ=1.0),1.0000,0.0032,ref,1.0000,1.0000,0.9170
10,Hybrid(τ=0.72),0.6000,0.0048,0.9668,0.6360,0.4656,0.9418
10,Taumode(τ=0.42),0.3000,0.0060,0.9158,0.5148,0.3647,0.9634
11,Cosine(τ=1.0),1.0000,0.0006,ref,1.0000,1.0000,0.9403
11,Hybrid(τ=0.72),1.0000,0.0002,0.9965,0.8714,0.8366,0.9547
