metric,tau,mean,std
Recall@10,Cosine(τ=1.0),1.000000,0.000000
Recall@10,Hybrid(τ=0.72),0.790000,0.182483
Recall@10,Taumode(τ=0.42),0.610000,0.293428
MRR-Top0,Cosine(τ=1.0),0.003226,0.003551
MRR-Top0,Hybrid(τ=0.72),0.003167,0.004557
MRR-Top0,Taumode(τ=0.42),0.003179,0.004928
NDCG@10 vs cos,Cosine(τ=1.0),ref,ref
NDCG@10 vs cos,Hybrid(τ=0.72),0.955095,0.081269
NDCG@10 vs cos,Taumode(τ=0.42),0.908828,0.151418
Spearman ρ,Cosine(τ=1.0),1.000000,0.000000
Spearman ρ,Hybrid(τ=0.72),0.779677,0.184253
Spearman ρ,Taumode(τ=0.42),0.643773,0.309899
Kendall τ,Cosine(τ=1.0),1.000000,0.000000
Kendall τ,Hybrid(τ=0.72),0.675445,0.225134
Kendall τ,Taumode(τ=0.42),0.577305,0.315704
Tail/Head ratio,Cosine(τ=1.0),0.936410,0.026898
Tail/Head ratio,Hybrid(τ=0.72),0.952271,0.018723
Tail/Head ratio,Taumode(τ=0.42),0.970581,0.011894
