number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
0,0.013556155256526845,2026-03-09 17:15:38.066809,2026-03-09 17:15:40.244083,0 days 00:00:02.177274,0.01781330597427123,10,1.7415577762652494,0.16131959616359268,91,COMPLETE,4000,128
1,0.04486843255777407,2026-03-09 17:15:40.274804,2026-03-09 17:15:42.538696,0 days 00:00:02.263892,0.018640762815635203,62,1.168919793836988,0.02123119726581391,493,COMPLETE,4000,128
2,0.0003857110371320997,2026-03-09 17:15:42.565652,2026-03-09 17:15:44.652186,0 days 00:00:02.086534,0.0607132712428318,35,2.2755738495166544,0.8218118163803462,240,COMPLETE,4000,128
3,0.001365047026390099,2026-03-09 17:15:44.673558,2026-03-09 17:15:46.742229,0 days 00:00:02.068671,0.3863266692504594,56,2.054697382336953,0.015999100622796927,648,COMPLETE,4000,128
4,0.2023296881141892,2026-03-09 17:15:46.765210,2026-03-09 17:15:48.822722,0 days 00:00:02.057512,0.02737917571807933,20,2.6973856329876953,0.10470192973806117,688,COMPLETE,4000,128
5,0.05230821598340378,2026-03-09 17:15:48.845901,2026-03-09 17:15:50.937011,0 days 00:00:02.091110,0.010224009249693715,39,1.553313257805467,0.11276566469294966,457,COMPLETE,4000,128
6,0.00030639069596981344,2026-03-09 17:15:50.957233,2026-03-09 17:15:53.495117,0 days 00:00:02.537884,0.09300181789806533,56,1.918138445250524,0.2027655965690986,335,COMPLETE,4000,128
7,0.0005268443922804138,2026-03-09 17:15:53.517350,2026-03-09 17:15:56.466843,0 days 00:00:02.949493,0.1490651678137969,57,1.9303250497125244,0.0421224059219536,318,COMPLETE,4000,128
8,5.920294208130112e-05,2026-03-09 17:15:56.486241,2026-03-09 17:16:00.053245,0 days 00:00:03.567004,0.09754625189027966,51,1.8300967881769963,0.042079331091101055,59,COMPLETE,4000,128
9,5.8785520296665026e-05,2026-03-09 17:16:00.075730,2026-03-09 17:16:03.273860,0 days 00:00:03.198130,0.15589418493807503,18,2.3630089731759334,0.7143746497307948,178,COMPLETE,4000,128
10,0.08148769757927217,2026-03-09 17:16:03.296715,2026-03-09 17:16:06.179872,0 days 00:00:02.883157,0.03832411532655593,21,2.9775447584819457,0.30706451998258305,994,COMPLETE,4000,128
11,0.011872319457638409,2026-03-09 17:16:06.202715,2026-03-09 17:16:08.784059,0 days 00:00:02.581344,0.03660650851995442,22,2.9522109631134965,0.3447558397722703,982,COMPLETE,4000,128
12,0.09612308554512283,2026-03-09 17:16:08.807335,2026-03-09 17:16:11.447307,0 days 00:00:02.639972,0.03582540805405029,3,2.959539234250046,0.34057094281130607,869,COMPLETE,4000,128
13,0.09612363276000406,2026-03-09 17:16:11.471157,2026-03-09 17:16:14.064519,0 days 00:00:02.593362,0.03031359299991071,3,2.6363895504083525,0.06133350751390529,748,COMPLETE,4000,128
14,0.0961235956518146,2026-03-09 17:16:14.088335,2026-03-09 17:16:16.907382,0 days 00:00:02.819047,0.02006295164265687,2,2.5356081444832204,0.0670076816004034,685,COMPLETE,4000,128
15,0.05240675300073625,2026-03-09 17:16:16.929049,2026-03-09 17:16:19.100787,0 days 00:00:02.171738,0.010447431801265892,13,2.6525984213752056,0.06526572677995512,713,COMPLETE,4000,128
16,0.02057868944668456,2026-03-09 17:16:19.119829,2026-03-09 17:16:21.342721,0 days 00:00:02.222892,0.048993405124708456,29,2.721103094878589,0.010383912225778742,801,COMPLETE,4000,128
17,,2026-03-09 17:16:21.364363,2026-03-09 17:16:23.764709,0 days 00:00:02.400346,0.020287048089722474,9,2.1974262473779578,0.03029049073186802,594,PRUNED,4000,128
