number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
0,,2026-03-10 16:39:43.646834,2026-03-10 16:39:45.647481,0 days 00:00:02.000647,0.012598773196300114,4,1.3882491551821743,0.01889819451173873,3480,PRUNED,N/A,128
1,,2026-03-10 16:39:45.664237,2026-03-10 16:39:47.708120,0 days 00:00:02.043883,0.028157817118965776,3,2.485812556561589,0.722911097199561,4120,PRUNED,N/A,128
2,0.03234427283527586,2026-03-10 16:39:47.723861,2026-03-10 16:39:50.045857,0 days 00:00:02.321996,0.06689781916034476,3,2.4160909202453276,0.08063390594740891,2349,COMPLETE,N/A,128
3,0.00799764819885307,2026-03-10 16:39:50.068490,2026-03-10 16:39:52.329810,0 days 00:00:02.261320,0.23700334100269443,4,2.6305348620995073,0.20037753639382566,905,COMPLETE,N/A,128
4,0.2580054556363524,2026-03-10 16:39:52.348748,2026-03-10 16:39:54.386099,0 days 00:00:02.037351,0.18410576276022084,5,1.3709765050330422,0.7723821575789599,4072,COMPLETE,N/A,128
5,0.1295413089317628,2026-03-10 16:39:54.407725,2026-03-10 16:39:56.652968,0 days 00:00:02.245243,0.2300717701844876,3,2.0287325261546876,0.055042246417552926,4130,COMPLETE,N/A,128
6,,2026-03-10 16:39:56.671588,2026-03-10 16:39:58.856231,0 days 00:00:02.184643,0.02048655595516634,6,1.3710342354304663,0.23751542894594993,3733,PRUNED,N/A,128
7,,2026-03-10 16:39:58.863905,2026-03-10 16:40:01.006691,0 days 00:00:02.142786,0.01883281101080622,5,2.845381059041218,0.09636104089885827,150,PRUNED,N/A,128
8,0.054834103884206335,2026-03-10 16:40:01.022761,2026-03-10 16:40:03.044531,0 days 00:00:02.021770,0.2319211212496452,5,2.487426521655717,0.09807342321737358,4842,COMPLETE,N/A,128
9,0.0321528198394039,2026-03-10 16:40:03.063601,2026-03-10 16:40:05.262246,0 days 00:00:02.198645,0.057794388062801384,5,2.779445453173751,0.2386535601314313,3765,COMPLETE,N/A,128
10,0.09622112765435815,2026-03-10 16:40:05.280472,2026-03-10 16:40:07.472701,0 days 00:00:02.192229,0.10812603255854976,2,1.0216170046129391,0.8842968394234828,2296,COMPLETE,N/A,128
11,0.04026604909851918,2026-03-10 16:40:07.490802,2026-03-10 16:40:09.555873,0 days 00:00:02.065071,0.1359047681073121,3,1.9214143763483462,0.020460467759883746,4864,COMPLETE,N/A,128
12,0.01929447132402598,2026-03-10 16:40:09.575077,2026-03-10 16:40:11.761076,0 days 00:00:02.185999,0.13954448633361521,6,1.9559270116586143,0.03997437944369563,2904,COMPLETE,N/A,128
13,0.011407126559364123,2026-03-10 16:40:11.778882,2026-03-10 16:40:13.953037,0 days 00:00:02.174155,0.2895654814532861,2,1.6573710784166735,0.041605518189641616,3008,COMPLETE,N/A,128
14,0.03024854216226863,2026-03-10 16:40:13.971974,2026-03-10 16:40:16.190228,0 days 00:00:02.218254,0.09163459116909708,4,2.1843805347057264,0.4337058172396229,1614,COMPLETE,N/A,128
15,0.2124843493439832,2026-03-10 16:40:16.208936,2026-03-10 16:40:18.274813,0 days 00:00:02.065877,0.1635292791639247,3,1.713395572012193,0.044039194599872634,4521,COMPLETE,N/A,128
16,0.033629812757356076,2026-03-10 16:40:18.292405,2026-03-10 16:40:20.436792,0 days 00:00:02.144387,0.03708747634132113,4,1.5539062244035966,0.011433742485143436,4460,COMPLETE,N/A,128
17,0.083356283893953,2026-03-10 16:40:20.468383,2026-03-10 16:40:22.668366,0 days 00:00:02.199983,0.16194347584911079,5,1.2059186425025856,0.40651708783964247,3228,COMPLETE,N/A,128
18,0.03805274391666864,2026-03-10 16:40:22.686141,2026-03-10 16:40:24.700317,0 days 00:00:02.014176,0.08737690689564286,2,1.6921524932487426,0.025689024398869522,4967,COMPLETE,N/A,128
19,0.014712251839332757,2026-03-10 16:40:24.717461,2026-03-10 16:40:26.993216,0 days 00:00:02.275755,0.1769998603401018,6,1.061571219743433,0.15017360759853426,4267,COMPLETE,N/A,128
20,0.03217339996735686,2026-03-10 16:42:47.445510,2026-03-10 16:42:49.963097,0 days 00:00:02.517587,0.07371938300349413,4,1.7570906375660877,0.3684198909098191,1882,COMPLETE,N/A,128
21,0.10211284384893857,2026-03-10 16:42:49.984671,2026-03-10 16:42:52.439591,0 days 00:00:02.454920,0.20556849364908153,3,2.0951829853478756,0.05841696340787578,4078,COMPLETE,N/A,128
22,0.03562838563398321,2026-03-10 16:42:52.457707,2026-03-10 16:42:54.986356,0 days 00:00:02.528649,0.12175769239647787,3,1.468292203466036,0.050949801224028236,4338,COMPLETE,N/A,128
23,0.13214626450163042,2026-03-10 16:42:55.004988,2026-03-10 16:42:58.664098,0 days 00:00:03.659110,0.2603208573271063,3,1.8394269928673674,0.028019170043539692,3638,COMPLETE,N/A,128
24,0.18863095434073127,2026-03-10 16:42:58.683860,2026-03-10 16:43:01.527061,0 days 00:00:02.843201,0.2950164115964174,2,1.8080089866544495,0.011583197428965868,3487,COMPLETE,N/A,128
25,0.041068937749972924,2026-03-10 16:43:01.547139,2026-03-10 16:43:04.651364,0 days 00:00:03.104225,0.17401881325678295,2,2.242637561145781,0.013792792148495348,2635,COMPLETE,N/A,128
26,0.05767140817068015,2026-03-10 16:43:04.671674,2026-03-10 16:43:07.581575,0 days 00:00:02.909901,0.28973440984796206,2,1.2404089572766122,0.1419417988722833,3551,COMPLETE,N/A,128
27,0.03302520318567375,2026-03-10 16:43:07.602000,2026-03-10 16:43:10.456216,0 days 00:00:02.854216,0.04196360192112752,2,1.5820494942610621,0.03214681421283217,3224,COMPLETE,N/A,128
28,0.06866406878432088,2026-03-10 16:43:10.479864,2026-03-10 16:43:13.442829,0 days 00:00:02.962965,0.17973703063585922,5,1.7917670439599502,0.010354253337152569,4550,COMPLETE,N/A,128
29,,2026-03-10 16:43:13.461383,2026-03-10 16:43:16.356713,0 days 00:00:02.895330,0.012086158438222607,4,1.369944138473206,0.01596854595862364,3883,PRUNED,N/A,128
30,0.04802577980145459,2026-03-10 16:43:16.373410,2026-03-10 16:43:19.411306,0 days 00:00:03.037896,0.0946818910464085,2,1.2000076558438306,0.020265115379188455,3326,COMPLETE,N/A,128
